volume_file,full_path,slice_idx,f000,f001,f002,f003,f004,f005,f006,f007,f008,f009,f010,f011,f012,f013,f014,f015,f016,f017,f018,f019,f020,f021,f022,f023,f024,f025,f026,f027,f028,f029,f030,f031,f032,f033,f034,f035,f036,f037,f038,f039,f040,f041,f042,f043,f044,f045,f046,f047,f048,f049,f050,f051,f052,f053,f054,f055,f056,f057,f058,f059,f060,f061,f062,f063,f064,f065,f066,f067,f068,f069,f070,f071,f072,f073,f074,f075,f076,f077,f078,f079,f080,f081,f082,f083,f084,f085,f086,f087,f088,f089,f090,f091,f092,f093,f094,f095,f096,f097,f098,f099,f100,f101,f102,f103,f104,f105,f106,f107,f108,f109,f110,f111,f112,f113,f114,f115,f116,f117,f118,f119,f120,f121,f122,f123,f124,f125,f126,f127,type,row_id,PC1,PC2,cluster,image_key
ct1000_NBIADownloadDir_NLST_100005_01-02-1999-NLST-LSS-72969_2-0OPAGELS16B3702.514060.00.11.375-43455_0.npy,/home/ripal/ilvr_files/gridimages2_npy_test/ct1000_NBIADownloadDir_NLST_100005_01-02-1999-NLST-LSS-72969_2-0OPAGELS16B3702.514060.00.11.375-43455_0.npy,0,-0.27589765,0.15592214,0.16548271,-0.14302209,0.18973947,0.2611478,0.1804159,0.004617136,0.03996665,0.090810396,0.2611165,0.37246332,-0.10231974,-0.32492387,-0.01704885,0.12590076,-0.31396696,-0.12842928,0.11267236,0.07733621,0.2512505,0.15366434,0.019756444,0.2123718,0.35966128,-0.026583603,-0.16217518,0.0641344,-0.12575892,-0.13046317,-0.050259363,0.008175015,0.2758109,0.14864802,-0.2985933,0.08245895,-0.004859715,0.0645659,0.45856276,0.10389764,-0.0012425883,0.60599625,0.13180095,0.28504166,0.2184506,0.15083644,-0.06341235,-0.039667588,-0.03430574,0.07273736,0.03344244,-0.34896567,-0.23105648,0.223554,-0.1076609,-0.3634937,0.14269161,0.30929142,0.07197517,-0.10682543,0.12005913,-0.14822678,0.09779161,0.14814633,-0.46287656,-0.17942506,0.10577159,-0.056671128,0.07078394,-0.21294768,-0.19613406,-0.12839139,-0.13002159,-0.08712032,-0.020752978,0.55506635,0.3051424,0.19802076,-0.5153995,0.13855729,0.13294183,0.18711504,-0.24921425,-0.18924595,-0.1895885,-0.042926885,-0.16101548,-0.15036486,-0.50842047,-0.04898876,0.044204947,0.09190255,0.10078715,-0.15583514,-0.394513,-0.26919457,0.05221619,0.07289528,0.12663521,0.15189874,0.38207486,-0.26377222,-0.02183662,-0.040014304,0.26358846,0.06955826,-0.019538136,-0.26671475,0.21504809,0.035545554,0.0973997,0.37610582,-0.03304439,0.015402477,-0.1917162,0.25989157,0.08167182,-0.20041269,-0.021739386,-0.0039622486,-0.15468763,0.084083945,-0.3263206,0.17242312,0.39500836,0.13455103,0.27700037,0.06558739,real,0,8.299047919134386,-1.3941388822294065,0,real__ct1000_NBIADownloadDir_NLST_100005_01-02-1999-NLST-LSS-72969_2-0OPAGELS16B3702.514060.00.11.375-43455_0.npy__slice_0
ct1000_NBIADownloadDir_NLST_100005_01-02-1999-NLST-LSS-72969_2-0OPAGELS16B3702.514060.00.11.375-43455_0.npy,/home/ripal/ilvr_files/gridimages2_npy_test/ct1000_NBIADownloadDir_NLST_100005_01-02-1999-NLST-LSS-72969_2-0OPAGELS16B3702.514060.00.11.375-43455_0.npy,1,-0.26605394,0.15132809,0.15404919,-0.17247362,0.10745453,0.24876183,0.17845848,0.022757854,0.062103555,0.014603108,0.2842967,0.3647595,-0.04543131,-0.25506547,-0.044051662,0.10703544,-0.2894942,-0.10676307,0.09875439,0.064951286,0.12546842,0.15760663,0.015023291,0.11532445,0.3498338,-0.009913677,-0.15318048,0.11011599,-0.12020357,-0.16861695,-0.03041571,0.071521945,0.30745372,0.11453276,-0.28997797,0.011733197,-0.054828674,0.03331029,0.42731917,0.0856752,-0.056006823,0.62379336,0.1385036,0.2691055,0.15519768,0.16535395,-0.08362493,-0.032495808,-0.032759603,0.056483097,0.025252309,-0.33397433,-0.13994378,0.16613007,-0.037303712,-0.26112932,0.08760559,0.3261403,0.04306611,-0.048835255,0.03081806,-0.18688089,0.03090075,0.1315113,-0.4737997,-0.14604357,0.13126366,0.030419637,0.049140893,-0.103309095,-0.13112806,-0.11342782,-0.1340923,-0.08883975,-0.059686452,0.5295943,0.24034785,0.23493204,-0.37897083,0.17518958,0.09025568,0.18703437,-0.2088202,-0.29402557,-0.19552153,-0.03635002,-0.16641022,-0.20840468,-0.5224222,-0.05506473,0.03850142,0.029682554,-0.0064884597,-0.16413423,-0.34774554,-0.26504365,0.0010606032,0.062357683,0.0683757,0.12904695,0.33008802,-0.26213458,-0.044126615,-0.033724777,0.27395874,0.05042015,0.024277154,-0.28615308,0.20481145,-0.01732869,0.13235937,0.36043242,-0.0929994,-0.012165889,-0.18078277,0.26506498,0.056250088,-0.19436383,0.052573815,0.050258946,-0.117766656,0.04954008,-0.260561,0.10041964,0.4167012,0.12798057,0.13809706,0.06804922,real,1,7.853495889619279,-1.2452528078800824,0,real__ct1000_NBIADownloadDir_NLST_100005_01-02-1999-NLST-LSS-72969_2-0OPAGELS16B3702.514060.00.11.375-43455_0.npy__slice_1
ct1000_NBIADownloadDir_NLST_100005_01-02-1999-NLST-LSS-72969_2-0OPAGELS16B3702.514060.00.11.375-43455_0.npy,/home/ripal/ilvr_files/gridimages2_npy_test/ct1000_NBIADownloadDir_NLST_100005_01-02-1999-NLST-LSS-72969_2-0OPAGELS16B3702.514060.00.11.375-43455_0.npy,2,-0.2012925,0.1821178,0.13696943,-0.20773347,0.084428266,0.30123764,0.1863356,0.056969237,0.049339525,-0.041318256,0.30226535,0.23602536,0.037436984,-0.21409507,-0.10975449,0.124119654,-0.24095611,-0.053147174,0.1379227,0.012707885,0.098121986,0.08764069,0.037320007,0.04450945,0.34517676,0.08131209,-0.18948135,0.090910584,-0.10817533,-0.003707895,0.05531638,0.17235392,0.3406793,0.053941093,-0.28302872,-0.08031578,-0.105821386,0.072588876,0.43694255,0.06718561,0.02116863,0.54420924,0.21655376,0.32307225,0.12722367,0.15463302,-0.054485973,0.010333534,-0.10049565,0.05184772,0.004259255,-0.35958615,-0.019314218,0.15241683,-0.040741563,-0.21992813,0.003924988,0.30501243,0.03164738,-0.05954843,-0.12487023,-0.15197916,-0.049180135,0.16830426,-0.4071488,-0.17313705,0.16629113,0.024794687,0.054201283,-0.0879917,-0.07493002,-0.10854505,-0.1648346,-0.1428565,-0.1232741,0.46911836,0.17871687,0.30268076,-0.21318579,0.18868715,0.084764436,0.16494347,-0.17396565,-0.37402028,-0.1743199,-0.043098986,-0.14693728,-0.22111285,-0.49196282,-0.11685994,-0.03819984,-0.06450137,-0.030382555,-0.12022917,-0.18927096,-0.16629037,-0.10781185,-0.025727153,-0.029094836,0.14104126,0.2662862,-0.26720423,-0.031858094,-0.06339778,0.28832307,0.10179471,0.12853289,-0.39144307,0.19538638,-0.04152017,0.20444815,0.29617998,-0.100840405,0.018934976,-0.20343396,0.17464805,0.010046029,-0.11527984,0.14926155,0.13773505,0.007443279,0.05232238,-0.1971003,0.15487292,0.37570655,0.14677349,0.029497515,0.13157345,real,2,7.757090566831488,-0.7452931573808517,0,real__ct1000_NBIADownloadDir_NLST_100005_01-02-1999-NLST-LSS-72969_2-0OPAGELS16B3702.514060.00.11.375-43455_0.npy__slice_2
ct1000_NBIADownloadDir_NLST_100005_01-02-1999-NLST-LSS-72969_2-0OPAGELS16B3702.514060.00.11.375-43455_0.npy,/home/ripal/ilvr_files/gridimages2_npy_test/ct1000_NBIADownloadDir_NLST_100005_01-02-1999-NLST-LSS-72969_2-0OPAGELS16B3702.514060.00.11.375-43455_0.npy,3,-0.052058466,0.20868102,0.11139791,-0.20605238,0.075030476,0.32606044,0.17545989,0.01563077,0.124326035,-0.07456521,0.36416385,0.2682369,0.12054875,-0.2650442,-0.12082124,0.15975086,-0.23070042,0.0045345854,0.11757195,0.08639321,0.07460832,0.0047643064,0.003436666,-0.07594386,0.33593872,0.23817366,-0.27749893,0.049945552,-0.09424204,0.16363634,0.060809195,0.13362244,0.3765145,-0.03310776,-0.27935904,-0.20613325,-0.102974646,0.042053185,0.43718883,0.08968073,0.07974152,0.42783692,0.34834465,0.3615259,0.14510277,0.21124029,0.014584947,0.052648015,-0.1819156,0.1570196,-0.06991169,-0.24372935,0.020377658,0.12035993,0.09332836,-0.2154383,-0.041585732,0.35260266,0.030252263,-0.21172005,-0.1764477,-0.05487896,-0.119764104,0.114604644,-0.37349215,-0.23144577,0.18794486,0.021377023,0.071080096,-0.06384393,0.07863713,-0.26230213,-0.12060033,-0.33772606,-0.16555174,0.44571322,0.086922176,0.30648872,-0.112145014,0.23955834,0.09370139,0.1923647,-0.24103451,-0.4782269,-0.16815881,-0.05101853,-0.103449434,-0.18259835,-0.42625245,-0.047434784,-0.15561321,-0.077097386,0.00046869146,0.0019935565,-0.06861345,-0.025333015,-0.252104,-0.055987533,-0.027881602,0.18405926,0.2696042,-0.25953406,-0.014256589,-0.06391379,0.3429847,0.16647378,0.12207079,-0.4647385,0.1660226,-0.09977074,0.39920628,0.22760993,-0.08946033,0.12957388,-0.26186332,-0.032154605,0.13281657,0.004773317,0.21992311,0.42620423,0.17648111,-0.0040293606,-0.13432924,0.13129854,0.34042278,0.16313449,-0.0048661707,0.15838265,real,3,7.741112502813108,-0.12700745673171226,0,real__ct1000_NBIADownloadDir_NLST_100005_01-02-1999-NLST-LSS-72969_2-0OPAGELS16B3702.514060.00.11.375-43455_0.npy__slice_3
ct1000_NBIADownloadDir_NLST_100005_01-02-1999-NLST-LSS-72969_2-0OPAGELS16B3702.514060.00.11.375-43455_0.npy,/home/ripal/ilvr_files/gridimages2_npy_test/ct1000_NBIADownloadDir_NLST_100005_01-02-1999-NLST-LSS-72969_2-0OPAGELS16B3702.514060.00.11.375-43455_0.npy,4,0.01489385,0.22353312,0.111018576,-0.22778402,0.14055893,0.33912688,0.13210389,-0.018828114,0.09843369,-0.14438754,0.3751969,0.21955079,0.13859226,-0.25288418,-0.11290072,0.14572509,-0.21094383,0.039328203,0.13291213,0.14773251,0.15795694,0.024668325,0.0068701543,-0.08391374,0.37225667,0.14368272,-0.23536514,0.047737166,-0.10312178,0.19779569,0.05272246,0.12474639,0.34816608,-0.07405434,-0.21245414,-0.108859256,-0.123143956,0.010592941,0.43418768,0.094233714,0.06791184,0.40797353,0.35786948,0.39081028,0.22110882,0.23168418,-0.016503748,0.04627859,-0.16408919,0.1877884,-0.073089615,-0.1769141,0.038734548,0.122405514,0.12874198,-0.25067806,-0.06893781,0.31625956,0.018733492,-0.16748881,-0.19345972,-0.05914694,-0.16963264,0.08153237,-0.37528545,-0.24809738,0.19172725,0.008395096,0.11868894,-0.16852178,0.08283632,-0.18776228,-0.09621215,-0.3376203,-0.20846161,0.41559723,0.07600681,0.29622972,-0.018083882,0.2794679,0.0873193,0.20065846,-0.27950066,-0.43720156,-0.09876273,-0.01747286,-0.110784784,-0.19690725,-0.45379856,-0.07259706,-0.19674143,-0.06015502,0.055014048,0.06652287,-0.062773146,0.0083198035,-0.3180703,-0.08367999,-0.02670736,0.108171925,0.33501685,-0.29059508,0.04457292,-0.062700935,0.38084304,0.20632884,0.14713943,-0.44713438,0.18835674,-0.11532973,0.34188026,0.19986418,-0.060916543,0.14075957,-0.25120547,-0.053720742,0.110226415,-0.03468404,0.29137123,0.47076803,0.15291992,0.017539512,-0.12001042,0.063624196,0.31311414,0.16918068,0.016130168,0.14799075,real,4,7.897895956412815,0.4688578887842971,0,real__ct1000_NBIADownloadDir_NLST_100005_01-02-1999-NLST-LSS-72969_2-0OPAGELS16B3702.514060.00.11.375-43455_0.npy__slice_4
ct1000_NBIADownloadDir_NLST_100005_01-02-1999-NLST-LSS-72969_2-0OPAGELS16B3702.514060.00.11.375-43455_0.npy,/home/ripal/ilvr_files/gridimages2_npy_test/ct1000_NBIADownloadDir_NLST_100005_01-02-1999-NLST-LSS-72969_2-0OPAGELS16B3702.514060.00.11.375-43455_0.npy,5,-0.0070017558,0.19815812,0.15988761,-0.22667944,0.08595179,0.22790655,0.17732641,0.009444136,-0.006166324,-0.13795748,0.44249344,0.12097924,0.07100142,-0.16455986,-0.0479709,0.13615677,-0.25867772,-0.018317908,0.0846742,0.09780197,0.20364255,0.003077194,0.04371384,0.03874475,0.37009454,-0.01448588,-0.177979,0.060396533,0.057837874,0.112839624,0.08542972,0.10509142,0.32001013,-0.02646827,-0.16678013,-0.0007419251,-0.12373736,0.036831517,0.38274783,0.021606555,-0.009246372,0.40173212,0.31888774,0.37202466,0.26367697,0.13672867,-0.055520173,-0.0073261485,-0.17614925,0.14951849,-0.074738115,-0.10433632,0.028462134,0.13503149,0.10185751,-0.2772098,-0.028282609,0.29100683,-0.110189535,-0.10583447,-0.044756692,-0.08448952,-0.21181808,-0.022570178,-0.38067344,-0.20729019,0.14785802,0.01022731,0.11375648,-0.16507606,0.058693897,-0.056046788,-0.0310508,-0.1740175,-0.17066012,0.46857643,0.09881741,0.26472622,-0.029985756,0.26094398,0.096652165,0.2611354,-0.3213528,-0.2775631,-0.17827454,0.014639232,-0.04395847,-0.17156035,-0.5034063,-0.106658384,-0.313142,-0.03781808,-0.03312346,-0.024031838,-0.15829803,-0.0057175923,-0.23144785,-0.0025426336,-0.043465212,0.059366196,0.34146225,-0.34868827,0.010238016,-0.05046264,0.45665634,0.23843578,0.13833532,-0.34556,0.20763372,-0.12706228,0.2067511,0.22852512,-0.07387112,0.07589483,-0.19270584,-0.04301659,0.07841797,-0.083030194,0.29508927,0.48775646,0.010860242,0.020246405,-0.24135648,-0.01863518,0.3333225,0.17952946,-0.054686822,0.09755646,real,5,7.905751773979703,0.6809290265138349,0,real__ct1000_NBIADownloadDir_NLST_100005_01-02-1999-NLST-LSS-72969_2-0OPAGELS16B3702.514060.00.11.375-43455_0.npy__slice_5
ct1000_NBIADownloadDir_NLST_100005_01-02-1999-NLST-LSS-72969_2-0OPAGELS16B3702.514060.00.11.375-43455_0.npy,/home/ripal/ilvr_files/gridimages2_npy_test/ct1000_NBIADownloadDir_NLST_100005_01-02-1999-NLST-LSS-72969_2-0OPAGELS16B3702.514060.00.11.375-43455_0.npy,6,-0.15210068,0.19665943,0.18273762,-0.1720997,-0.03203854,0.18134537,0.1991927,0.08626026,-0.114001535,-0.031466555,0.48668998,0.12290991,0.033756204,-0.12405498,-0.046664998,0.131757,-0.32697016,-0.09926379,0.09754132,0.16906388,0.25254995,0.054430667,-0.00086429715,0.10157344,0.36829174,-0.0060425014,-0.1262654,0.03474795,0.11802194,0.0023874957,0.1401916,0.16204435,0.28558373,-0.0056362897,-0.08318399,0.115246445,-0.053813808,-0.04362518,0.34305495,-0.028742043,0.007460716,0.5208299,0.32608056,0.3086458,0.25196502,0.124181904,-0.06715155,0.019163659,-0.16213702,0.08874992,-0.0788558,-0.10178827,-0.040261567,0.049496002,0.11479889,-0.23216867,0.04476747,0.23578733,-0.15733331,-0.10482804,0.07475583,-0.08656535,-0.17979756,-0.08892765,-0.4356283,-0.18005411,0.11549938,0.04073394,0.07237948,-0.14118318,0.09587121,-0.044294763,-0.03860772,-0.041815244,-0.13221586,0.5219686,0.09535525,0.24373305,-0.025913157,0.21299985,0.17310718,0.30298108,-0.35534766,-0.17345597,-0.27244738,0.07221797,-0.018435635,-0.16251864,-0.5216985,-0.13332827,-0.32138798,-0.020571114,-0.122721635,-0.06008419,-0.17568354,-0.07758105,-0.13827768,0.02184489,0.0056381803,-0.008602887,0.28831142,-0.3833961,-0.017021976,-0.029057287,0.4484463,0.22319925,0.14858037,-0.2764726,0.22633527,-0.07564898,0.11121619,0.24666245,-0.053931892,0.027306203,-0.17755026,-0.09230556,0.0747315,-0.14553513,0.19372597,0.41552764,-0.09650031,-0.022631606,-0.3091118,-0.11384978,0.3704137,0.21459597,-0.049571186,0.11559595,real,6,7.746999848046673,0.5253759177013266,0,real__ct1000_NBIADownloadDir_NLST_100005_01-02-1999-NLST-LSS-72969_2-0OPAGELS16B3702.514060.00.11.375-43455_0.npy__slice_6
ct1000_NBIADownloadDir_NLST_100005_01-02-1999-NLST-LSS-72969_2-0OPAGELS16B3702.514060.00.11.375-43455_0.npy,/home/ripal/ilvr_files/gridimages2_npy_test/ct1000_NBIADownloadDir_NLST_100005_01-02-1999-NLST-LSS-72969_2-0OPAGELS16B3702.514060.00.11.375-43455_0.npy,7,-0.21003877,0.21420489,0.21273533,-0.13755001,-0.018820904,0.16147637,0.23144925,0.08203982,-0.11296849,-0.04332557,0.42798123,0.18951339,0.016113633,-0.23194255,-0.0886085,0.083343536,-0.4265669,-0.18298604,0.15915874,0.2536432,0.2674538,0.15847442,-0.036834147,0.16773365,0.35492557,0.0038637454,-0.10618694,-0.023787845,0.080465466,-0.08986913,0.14803113,0.18162037,0.20893651,0.0073069707,-0.11587335,0.16507243,0.0027753273,-0.020567007,0.3268677,-0.023615828,0.008800677,0.603349,0.31409407,0.27599373,0.17905849,0.17087734,-0.09366441,0.049097545,-0.111197144,0.08005351,-0.10895048,-0.08344597,-0.15173382,-0.0708787,0.007572621,-0.16203244,0.040887706,0.18368207,-0.14013135,-0.10165999,0.12103197,-0.11001673,-0.08348851,-0.13678,-0.45915204,-0.18083176,0.09177774,0.030037085,0.020711254,-0.070664994,0.01338464,0.014552094,-0.120071545,-0.03992039,-0.1390709,0.50744593,0.11275214,0.15535095,-0.019737083,0.21637975,0.21142894,0.41886818,-0.32492614,-0.09331184,-0.30146325,0.1484268,-0.031863637,-0.10032573,-0.46176073,-0.1594156,-0.17631426,-0.020973863,-0.106381,-0.08327557,-0.19154078,-0.18322979,-0.10615575,-0.037581798,0.04725799,-0.0695975,0.20697418,-0.3906787,0.017412731,0.006562628,0.3535213,0.18714514,0.0939365,-0.20861065,0.18233505,0.02223866,0.0636226,0.23552021,0.0045039393,-0.010560539,-0.23981652,-0.01359004,0.007191824,-0.22165895,0.15909183,0.3523715,-0.1849405,0.041175142,-0.29874045,-0.092565745,0.38101107,0.19735882,-0.019170426,0.06633781,real,7,7.703137541272002,0.32312242061793556,0,real__ct1000_NBIADownloadDir_NLST_100005_01-02-1999-NLST-LSS-72969_2-0OPAGELS16B3702.514060.00.11.375-43455_0.npy__slice_7
ct1000_NBIADownloadDir_NLST_100005_01-02-1999-NLST-LSS-72969_2-0OPAGELS16B3702.514060.00.11.375-43455_1.npy,/home/ripal/ilvr_files/gridimages2_npy_test/ct1000_NBIADownloadDir_NLST_100005_01-02-1999-NLST-LSS-72969_2-0OPAGELS16B3702.514060.00.11.375-43455_1.npy,0,0.01489385,0.22353312,0.111018576,-0.22778402,0.14055893,0.33912688,0.13210389,-0.018828114,0.09843369,-0.14438754,0.3751969,0.21955079,0.13859226,-0.25288418,-0.11290072,0.14572509,-0.21094383,0.039328203,0.13291213,0.14773251,0.15795694,0.024668325,0.0068701543,-0.08391374,0.37225667,0.14368272,-0.23536514,0.047737166,-0.10312178,0.19779569,0.05272246,0.12474639,0.34816608,-0.07405434,-0.21245414,-0.108859256,-0.123143956,0.010592941,0.43418768,0.094233714,0.06791184,0.40797353,0.35786948,0.39081028,0.22110882,0.23168418,-0.016503748,0.04627859,-0.16408919,0.1877884,-0.073089615,-0.1769141,0.038734548,0.122405514,0.12874198,-0.25067806,-0.06893781,0.31625956,0.018733492,-0.16748881,-0.19345972,-0.05914694,-0.16963264,0.08153237,-0.37528545,-0.24809738,0.19172725,0.008395096,0.11868894,-0.16852178,0.08283632,-0.18776228,-0.09621215,-0.3376203,-0.20846161,0.41559723,0.07600681,0.29622972,-0.018083882,0.2794679,0.0873193,0.20065846,-0.27950066,-0.43720156,-0.09876273,-0.01747286,-0.110784784,-0.19690725,-0.45379856,-0.07259706,-0.19674143,-0.06015502,0.055014048,0.06652287,-0.062773146,0.0083198035,-0.3180703,-0.08367999,-0.02670736,0.108171925,0.33501685,-0.29059508,0.04457292,-0.062700935,0.38084304,0.20632884,0.14713943,-0.44713438,0.18835674,-0.11532973,0.34188026,0.19986418,-0.060916543,0.14075957,-0.25120547,-0.053720742,0.110226415,-0.03468404,0.29137123,0.47076803,0.15291992,0.017539512,-0.12001042,0.063624196,0.31311414,0.16918068,0.016130168,0.14799075,real,8,7.897895956412815,0.4688578887842971,0,real__ct1000_NBIADownloadDir_NLST_100005_01-02-1999-NLST-LSS-72969_2-0OPAGELS16B3702.514060.00.11.375-43455_1.npy__slice_0
ct1000_NBIADownloadDir_NLST_100005_01-02-1999-NLST-LSS-72969_2-0OPAGELS16B3702.514060.00.11.375-43455_1.npy,/home/ripal/ilvr_files/gridimages2_npy_test/ct1000_NBIADownloadDir_NLST_100005_01-02-1999-NLST-LSS-72969_2-0OPAGELS16B3702.514060.00.11.375-43455_1.npy,1,-0.0070017558,0.19815812,0.15988761,-0.22667944,0.08595179,0.22790655,0.17732641,0.009444136,-0.006166324,-0.13795748,0.44249344,0.12097924,0.07100142,-0.16455986,-0.0479709,0.13615677,-0.25867772,-0.018317908,0.0846742,0.09780197,0.20364255,0.003077194,0.04371384,0.03874475,0.37009454,-0.01448588,-0.177979,0.060396533,0.057837874,0.112839624,0.08542972,0.10509142,0.32001013,-0.02646827,-0.16678013,-0.0007419251,-0.12373736,0.036831517,0.38274783,0.021606555,-0.009246372,0.40173212,0.31888774,0.37202466,0.26367697,0.13672867,-0.055520173,-0.0073261485,-0.17614925,0.14951849,-0.074738115,-0.10433632,0.028462134,0.13503149,0.10185751,-0.2772098,-0.028282609,0.29100683,-0.110189535,-0.10583447,-0.044756692,-0.08448952,-0.21181808,-0.022570178,-0.38067344,-0.20729019,0.14785802,0.01022731,0.11375648,-0.16507606,0.058693897,-0.056046788,-0.0310508,-0.1740175,-0.17066012,0.46857643,0.09881741,0.26472622,-0.029985756,0.26094398,0.096652165,0.2611354,-0.3213528,-0.2775631,-0.17827454,0.014639232,-0.04395847,-0.17156035,-0.5034063,-0.106658384,-0.313142,-0.03781808,-0.03312346,-0.024031838,-0.15829803,-0.0057175923,-0.23144785,-0.0025426336,-0.043465212,0.059366196,0.34146225,-0.34868827,0.010238016,-0.05046264,0.45665634,0.23843578,0.13833532,-0.34556,0.20763372,-0.12706228,0.2067511,0.22852512,-0.07387112,0.07589483,-0.19270584,-0.04301659,0.07841797,-0.083030194,0.29508927,0.48775646,0.010860242,0.020246405,-0.24135648,-0.01863518,0.3333225,0.17952946,-0.054686822,0.09755646,real,9,7.905751773979703,0.6809290265138349,0,real__ct1000_NBIADownloadDir_NLST_100005_01-02-1999-NLST-LSS-72969_2-0OPAGELS16B3702.514060.00.11.375-43455_1.npy__slice_1
